NUM_DEP;NOM_COM;CD_ME_niv1_surf;CD_ME_v2;CD_STATION;INDEX_STATION;NUM_COM;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;CD_STATION_;LAT_WSG84;LONG_WSG84
69;VAULX-EN-VELIN;DG338;DG338;06987F0130/P1;9876;69256;AERM&C;170.0;;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui;06987F0130/P1;4.8917337413;45.800632629
69;VAUXRENARD;DG611;DG611;06494X0009/HY;9878;69258;AERM&C;740.0;;Hors RCS et RCO;;;;;;oui;;;;;;;;06494X0009/HY;4.61975257494;46.2272223628
69;VAUXRENARD;DG611;DG611;06494X0019/CPT;9877;69258;AERM&C;684.0;;Hors RCS et RCO;;;;;;;;oui;;;;;;06494X0019/CPT;4.63843861992;46.2254053099
69;VENISSIEUX;DG334;;07223X0279/RTP19;9879;69259;AERM&C;186.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;;oui;;;;;;07223X0279/RTP19;4.88154659367;45.7194011489
69;VILLEFRANCHE-SUR-SAONE;DG361;DG361;06741X0008/692A;9880;69264;AERM&C;170.0;;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;06741X0008/692A;4.73411561725;45.9883020647
69;VILLEURBANNE;DG338;;06987J0105/PZ;9881;69266;AERM&C;170.0;20;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;06987J0105/PZ;4.90395456225;45.7858619131
69;VILLEURBANNE;DG384;DG384;06987H0064/F;9882;69266;AERM&C;169.0;7.5;RCO Seul;RCOseul;RCOseul;RCOseul;RCOseul;RCOseul;;;;oui;oui;oui;oui;oui;06987H0064/F;4.8870021753;45.7788151653
69;VOURLES;DG385;;07221X0018/CPT;9884;69268;AERM&C;195.3;;Hors RCS et RCO;;;;;;oui;;oui;;;;;;07221X0018/CPT;4.75526411065;45.6532853446
69;VOURLES;DG385;DG385;07221X0017/P4;9887;69268;AERM&C;203.0;55;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui;07221X0017/P4;4.75063843557;45.6476805862
69;VOURLES;DG385;DG385;07221X0026/CPT;9886;69268;AERM&C;207.0;;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;oui;oui;;;;;;07221X0026/CPT;4.75682958407;45.6583361518
