;ANNEE;CD_STATION;NBPREL;MOYPTOT;MAXPTOT;MINMOLRECH;MAXMOLRECH;MINMOLQ;MAQMOLQ
9809;2012.0;02386X0065/S3;4.0;0.09275;0.103;279.0;281.0;2.0;2.0
9810;2012.0;02393X0030/HY;4.0;0.048;0.056;279.0;281.0;1.0;1.0
9811;2012.0;02397X0006/F28;2.0;0.0;0.0;279.0;281.0;0.0;0.0
9812;2012.0;02402X0008/C8;2.0;0.0;0.0;279.0;281.0;0.0;0.0
9813;2012.0;02408X0017/HY;2.0;0.0195;0.039;279.0;281.0;0.0;1.0
9814;2012.0;02414X0026/P1;4.0;0.022;0.032;3.0;281.0;0.0;2.0
9815;2012.0;02425X0026/P1;2.0;0.0395;0.04;279.0;281.0;1.0;1.0
9816;2012.0;02447X0057/P1;2.0;0.0415;0.083;279.0;281.0;0.0;1.0
9817;2012.0;02452X0042/P1;6.0;0.0;0.0;3.0;281.0;0.0;0.0
9818;2012.0;02462X0038/F;2.0;0.027;0.054;279.0;281.0;0.0;1.0
9819;2012.0;02467X0007/HY;2.0;0.0165;0.033;279.0;281.0;0.0;1.0
9820;2012.0;02472X0025/C1;4.0;0.0025;0.01;277.0;277.0;0.0;1.0
9821;2012.0;02472X0073/P;4.0;0.0155;0.028;277.0;277.0;0.0;3.0
9822;2012.0;02473X0014/C1;4.0;0.014;0.026;277.0;277.0;0.0;3.0
9823;2012.0;02474X0010/C1;3.0;0.00666666666667;0.009;277.0;277.0;1.0;1.0
9824;2012.0;02477X0076/HY;4.0;0.00975;0.039;279.0;281.0;0.0;1.0
9825;2012.0;02504X0002/C1;3.0;0.0;0.0;85.0;281.0;0.0;0.0
9826;2012.0;02506X0008/P;3.0;0.0;0.0;55.0;281.0;0.0;0.0
9827;2012.0;02522X0003/S1;4.0;0.13375;0.169;279.0;281.0;2.0;3.0
9828;2012.0;02524X0010/C1;2.0;0.075;0.075;279.0;281.0;1.0;1.0
9829;2012.0;02527X0003/F;2.0;0.011;0.022;279.0;281.0;0.0;1.0
9830;2012.0;02534X0007/F;1.0;0.03;0.03;277.0;277.0;1.0;1.0
9831;2012.0;02544X0036/FAEP;4.0;0.092;0.16;277.0;277.0;3.0;7.0
9832;2012.0;02548X0037/FAEP;4.0;0.0735;0.115;277.0;277.0;2.0;5.0
9833;2012.0;02562X0031/P1;2.0;0.155;0.19;140.0;234.0;3.0;3.0
9834;2012.0;02564X0091/F1;3.0;1.027;2.65;282.0;283.0;2.0;7.0
9835;2012.0;02565X0001/P2;1.0;0.461;0.461;238.0;238.0;11.0;11.0
9836;2012.0;02566X0035/F1;3.0;0.0133333333333;0.04;177.0;278.0;0.0;1.0
9837;2012.0;02581X0043/P1;2.0;0.355;0.41;177.0;239.0;4.0;6.0
9838;2012.0;02581X0094/F3;8.0;0.439875;0.699;239.0;320.0;3.0;9.0
9839;2012.0;02586X0056/F1;1.0;0.0;0.0;239.0;239.0;0.0;0.0
9840;2012.0;02586X0069/P3;2.0;0.5;0.58;239.0;283.0;5.0;9.0
9841;2012.0;02588X0013/HY1;7.0;0.502;0.67;239.0;283.0;3.0;7.0
9842;2012.0;02594X0052/P1;5.0;0.3074;0.461;178.0;282.0;2.0;7.0
9843;2012.0;02597X0010/S1;10.0;0.2357;0.3;177.0;283.0;2.0;5.0
9844;2012.0;02598X0009/P1;4.0;0.4175;0.87;239.0;283.0;1.0;6.0
9845;2012.0;02601X0025/S1;9.0;0.479111111111;0.62;78.0;283.0;5.0;8.0
9846;2012.0;02604X0068/PAEP;2.0;0.0375;0.039;239.0;283.0;2.0;3.0
9847;2012.0;02604X0097/VS0380;2.0;0.016;0.03;239.0;283.0;1.0;1.0
9848;2012.0;02605X0154/P1;2.0;0.448;0.886;239.0;283.0;1.0;10.0
9849;2012.0;02611X1016/F2;4.0;0.138;0.252;277.0;277.0;5.0;12.0
9850;2012.0;02613X0071/PUITS;1.0;0.111;0.111;277.0;277.0;4.0;4.0
9851;2012.0;02614X0019/PAEP;4.0;0.27475;0.33;234.0;283.0;3.0;5.0
9852;2012.0;02617X0030/FAEP2;1.0;0.064;0.064;283.0;283.0;3.0;3.0
9853;2012.0;02618X0004/PAEP;3.0;0.0896666666667;0.117;239.0;421.0;2.0;8.0
9854;2012.0;02621X0008/PAEP;3.0;0.0486666666667;0.116;239.0;421.0;1.0;4.0
9855;2012.0;02623X0012/PU36;2.0;0.05;0.078;239.0;283.0;2.0;3.0
9856;2012.0;02624X0023/F1;4.0;0.19025;0.35;239.0;283.0;2.0;5.0
9857;2012.0;02625X0006/PAEP;3.0;0.143333333333;0.2;234.0;278.0;2.0;3.0
