;CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014
10895;00752X0038/F;76076;BENARVILLE;76;AESN;99.0;41;76076_FRHG218_FRHG203;518659.300098;6955827.6983;HG203;HG203;Hors RCS et RCO;horsRCSRCODRIRE;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;;;;;oui;oui;oui;oui
10896;01013X0008/HY;76093;BEZANCOURT;76;AESN;122.0;;76093_FRHG218_FRHG201;599887.414199;6925034.0734;;HG201;Hors RCS et RCO;;;;;;;oui;;;;;;
10897;00777X0024/F;76100;BLAINVILLE-CREVON;76;AESN;105.0;22.5;76100_FRHG218_FRHG201;577608.159699;6936231.2053;HG201;HG201;RCS;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;RCS/RCO;oui;oui;oui;oui;oui;oui;oui;oui
10898;00447X0020/P1;76101;BLANGY-SUR-BRESLE;76;AESN;62.3;21.55;76101_FRHG218_FRHG204;599813.493099;6979607.5748;;HG204;Hors RCS et RCO;;;;;;;oui;oui;;;;;
10899;00447X0040/F2;76101;BLANGY-SUR-BRESLE;76;AESN;64.82;20;76101_FRHG218_FRHG204;598653.666499;6979488.6731;;HG204;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10900;00581X0020/F;76104;BLOSSEVILLE;76;AESN;43.0;40.58;76104_FRHG218_FRHG203;541854.325398;6974727.3285;;HG203;Hors RCS et RCO;;;;;;oui;;oui;;;;;
10901;00756X0070/HY;76114;BOLBEC;76;AESN;67.0;;76114_FRHG218_FRHG202;518598.811598;6943929.3999;;HG202;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;
10902;00772X0185/F1;76125;BOSC-LE-HARD;76;AESN;158.0;105;76125_FRHG218_FRHG203;569383.448999;6949488.2884;;HG203;Hors RCS et RCO;;;;;;;oui;oui;;;;;
10903;00587X0053/111111;76132;BOURDAINVILLE;76;AESN;106.0;35;76132_FRHG218_FRHG203;552673.255899;6954965.1452;;HG203;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;
10904;00587X0008/HY;76132;BOURDAINVILLE;76;AESN;106.5;4;76132_FRHG218_FRHG203;551396.874299;6954866.3917;;HG203;Hors RCS et RCO;;;;;;;;oui;;;;;
10905;00583X0003/F;76136;BRACHY;76;AESN;24.81;14.7;76136_FRHG218_FRHG203;553038.047599;6969426.0868;HG203;HG203;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;oui;oui;oui;oui;oui;oui;oui
